Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2;Nr_Wojewodztwa
71;2015-10-21;2024-01-20;263000,0;NIE;Irysowa 3A;72-005;Warzymice;Zachodniopomorskie;POLSKA;1;;53.3901375;14.483018;1;0;13;
72;2015-07-16;2024-01-15;160000,0;NIE;TADEUSZA KOTARBIŃSKIEGO 12;97-300;PIOTRKÓW TRYBUNALSKI;Łódzkie;POLSKA;1;;51.407447899999994;19.660822062331974;1;0;14;
73;2015-06-08;2024-01-07;205025,0;NIE; 83;99-434;Strzebieszew;Łódzkie;POLSKA;1;;51.995210;19.756430;3;1;14;
74;2016-01-14;2024-01-13;224700,0;NIE;Baśniowa 35;80-180;Gdańsk;Pomorskie;POLSKA;1;;54.320312;18.559803;1;1;10;
75;2016-01-15;2024-01-14;220000,0;NIE;Sadowa 58;87-100;Toruń;Kujawsko-Pomorskie;POLSKA;1;;53.053226;18.584597;1;1;2;
76;2016-01-27;2024-01-26;495000,0;NIE;MIŁORADZICE 131;59-323;MIŁORADZICE;Dolnośląskie;POLSKA;1;;51.3235666;16.2690909;3;0;1;
77;2015-10-21;2024-01-20;186000,0;NIE;DZIERŻONIA 24;55-200;OŁAWA;Dolnośląskie;POLSKA;1;;50.93432045;17.317552884767572;1;0;1;
78;2015-08-25;2024-01-24;159615,38;NIE;Kościuszki 83;50-442;Wrocław;Dolnośląskie;POLSKA;1;;51.1010373;17.0402001;1;0;1;
79;2016-04-12;2024-01-11;337000,0;NIE;Generała Władysława Sikorskiego 22;66-100;Sulechów;Lubuskie;POLSKA;1;;52.084430;15.625150;1;2;4;
80;2015-11-13;2024-01-12;155000,0;NIE;WSPÓLNA 15;91-464;ŁÓDŹ;Łódzkie;POLSKA;1;;51.795552400000005;19.450728091659407;1;0;14;
81;2016-04-12;2024-01-11;453342,0;NIE;TILGNERA 1272;80-809;GDAŃSK;Pomorskie;POLSKA;1;;54.3314115;18.6141531;1;0;10;
82;2015-08-06;2024-01-05;274092,0;NIE;Maślicka 173D;54-104;WROCLAW;Dolnośląskie;POLSKA;1;;51.1587145;16.9313452;1;0;1;
83;2015-08-07;2024-01-06;270502,8;NIE;BORYSZEWSKA 44C;09-409;PŁOCK;Mazowieckie;POLSKA;1;;52.55165425;19.75818064859944;1;0;5;
84;2015-12-29;2024-01-28;479000,0;NIE;MELCHIORA WAŃKOWICZA 52;54-622;WROCŁAW;Dolnośląskie;POLSKA;1;;51.1019391;16.9523055;1;0;1;
85;2015-08-19;2024-01-18;270000,0;NIE;ANTONIEGO ANTCZAKA 19C;87-100;TORUŃ;Kujawsko-Pomorskie;POLSKA;1;;53.017228;18.6298708;1;0;2;
86;2015-10-09;2024-01-08;205400,0;NIE;FERDYNANDA MAGELLANA 39;51-505;WROCŁAW;Dolnośląskie;POLSKA;1;;51.11204555;17.119805623390057;1;0;1;
87;2015-05-27;2024-01-26;163000,0;NIE;OKRZEI 5;59-900;ZGORZELEC;Dolnośląskie;POLSKA;1;;51.15072445;15.006482981845501;1;0;1;
88;2015-08-26;2024-01-25;130000,0;NIE;JUGOSŁOWIAŃSKA 52E;60-149;POZNAŃ;Wielkopolskie;POLSKA;1;;52.3892515;16.8655232;1;0;12;
89;2016-01-15;2024-01-14;112250,0;NIE;OSIEDLE POD LASEM 3C;87-640;CZERNIKOWO;Kujawsko-Pomorskie;POLSKA;1;;52.9395652;18.9306605;1;0;2;
90;2016-01-27;2024-01-26;345000,0;NIE;JERZEGO BAJANA 41;54-129;WROCŁAW;Dolnośląskie;POLSKA;1;;51.127871;16.9611073;1;0;1;
91;2015-08-28;2024-01-27;180000,0;NIE;OGRODY 10;64-100;OGRODY;Wielkopolskie;POLSKA;1;;51.8471842;16.5876965;3;0;12;
